Tên công ty,Ngành nghề,Năm kinh nghiệm,Vị trí làm việc,Số lượng nhân viên,Lương,Mô tả công việc,Yêu cầu công việc,Logo,Link ứng tuyển
CÔNG TY CỔ PHẦN TƯ VẤN TÀI CHÍNH DOANH NGHIỆP VIỆT NAM,Chuyên môn Sales Manager/Trưởng phòng kinh doanh Kế toán,2 năm,Hà Nội,10-24 nhân viên,20 - 30 triệu,"1. Quản lý đội nhóm từ 4 nhân viên
2. Xây dựng kế hoạch kinh doanh/chăm sóc khách hàng theo mục tiêu công ty
3. Triển khai kế hoạch kinh doanh nhằm đạt mục tiêu đề ra
4. Xây dựng kế hoạch tìm kiếm thêm nguồn khách hàng mới;
5. Đào tạo và hướng dẫn bộ phận kinh doanh/CSKH do mình quản lý
KẾT QUẢ CÔNG VIỆC CẦN ĐẠT ĐƯỢC:
- Đảm bảo đạt KPI doanh số và mức độ hài lòng của khách hàng bền vững
- Tối đa hoá hiệu quả chuyển đổi khách hàng
- Gia tăng lượng khách hàng mới quan tâm tới các khóa học và dịch vụ của CFC Vietnam","Tốt nghiệp : cao đẳng trở lên
Kinh nghiệm 2 năm kinh nghiệm ở vị trí tương đương
Thái độ (A) Tận tâm, chính trực
Kỹ năng(S) - Xây dựng và triển khai kế hoạch - Tư vấn và xử lý từ chối khách hàng - Quản lý đội nhóm
Kiến thức (K) Sơ bộ về kiến thức ngành tài chính, kinh doanh",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/CjwenAAfbj3BPRpVpxKw9cGiZdS7wWpD_1723729762____17d926e461e14e4687bbefca134ce07d.png,https://www.topcv.vn/viec-lam/truong-phong-kinh-doanh-cham-soc-khach-hang-di-lam-ngay/1723813.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466268
CÔNG TY TNHH VIETNAM CONCENTRIX SERVICES,Chuyên môn Call Center/Trực tổng đài,1 năm,Hồ Chí Minh,500-1000 nhân viên,10 - 20 triệu,"- Tư vấn thông tin dinh dưỡng của các sản phẩm sữa, tư vấn dinh dưỡng cho bà mẹ đang mang thai, người già và trẻ em.
- Chăm sóc khách hàng, tư vấn, hướng dẫn khách hàng mua sản phẩm.
- Cập nhật thông tin khách hàng trên hệ thống công ty.
- Báo cáo công việc lên cấp trên trực tiếp.
- Data khách hàng tiềm năng có sẵn, sẽ được hỗ trợ từ cấp trên.
- Không đi thị trường, không tìm kiếm khách hàng chỉ làm tại văn phòng.","- Nam Nữ/ LGBTQI+
- Giọng nói rõ ràng, lưu loát
- Ưu tiên ứng viên có kinh nghiệm telesales, chăm sóc khách hàng, bán hàng, sale, tư vấn.
- Nếu chưa có kinh nghiệm sẽ được đào tạo bài bản.
- Chăm chỉ, chịu khó, chịu được áp lực tốt.
- Bằng trung học phổ thông , không nhận sinh viên vướng lịch học",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/cong-ty-tnhh-vietnam-concentrix-services-71cbe2bbb111b6a6152b0545f7c6fa70-677ca9b4c1027.jpg,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-sale-van-phong-data-co-san-thu-viec-100-luong-luong-cung-khong-phu-thuoc-doanh-so/1726783.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466268
"Innovative Hub Co., Ltd.",Chuyên môn Kinh doanh sàn thương mại điện tử B2B Thương mại điện tử Xuất nhập khẩu / Hải quan Có hỗ trợ Data Nghỉ thứ 7,1 năm,Hồ Chí Minh,25-99 nhân viên,15 - 20 triệu,"Bạn sẽ là người đồng hành cùng các doanh nghiệp Việt Nam trong hành trình xuất khẩu toàn cầu qua nền tảng Alibaba . com – sàn thương mại điện tử B2B hàng đầu thế giới.
Cụ thể, bạn sẽ:
•Tư vấn giải pháp xuất khẩu qua Alibaba cho các doanh nghiệp Việt Nam (SMEs)
•Tìm kiếm và phát triển khách hàng tiềm năng qua các kênh: gọi điện, email, mạng xã hội...
•Thuyết phục và hỗ trợ khách hàng đăng ký gian hàng trên Alibaba.com
•Đàm phán và chốt hợp đồng
•Phối hợp với các bộ phận để đảm bảo dịch vụ triển khai hiệu quả cho khách hàng","•Có ít nhất 1 năm kinh nghiệm trong lĩnh vực: bán hàng, thương mại điện tử, xuất nhập khẩu hoặc các ngành liên quan
•Có kỹ năng giao tiếp, đàm phán và thuyết phục tốt
•Tư duy dịch vụ, biết lắng nghe và nắm bắt nhu cầu khách hàng
•Thành thạo tin học văn phòng (Word, Excel, Google Sheet)
•Ưu tiên ứng viên đã từng làm B2B sales, telesales hoặc tư vấn giải pháp cho doanh nghiệp",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/OsazbfCEnyoLu84odjhifYxMq8M855Jj_1722234867____c22a370335677ef84a0768bd8386898e.png,https://www.topcv.vn/viec-lam/nhan-vien-tu-van-tmdt-b2b-thu-nhap-15-20tr-thang-tai-tp-ho-chi-minh/1633145.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466268
CÔNG TY CỔ PHẦN THƯƠNG MẠI ANC VIỆT NAM,Chuyên môn Kinh doanh thiết bị/linh kiện điện B2B B2C Điện / Điện tử / Điện lạnh,1 năm,Hà Nội,10-24 nhân viên,Thoả thuận,"• Tìm kiếm, tiếp cận và xây dựng mối quan hệ với khách hàng tiềm năng (các công ty sản xuất điện tử, nhà máy, nhà phân phối, phòng R&D,...).
• Tư vấn nguồn hàng và báo giá Vật tư công nghiệp - linh kiện phù hợp với nhu cầu khách hàng.
• Theo dõi đơn hàng, phối hợp với bộ phận kho vận để đảm bảo tiến độ giao hàng.
• Đàm phán, ký kết hợp đồng, theo dõi công nợ và hỗ trợ thu hồi công nợ.
• Cập nhật kiến thức sản phẩm, xu hướng thị trường Vật tư công ghiệp - Linh kiện điện tử.
• Báo cáo kết quả kinh doanh định kỳ cho quản lý.","• Tốt nghiệp Cao đẳng trở lên chuyên ngành Điện tử, Tự động hóa, Kinh doanh, hoặc các ngành liên quan.
• Có kinh nghiệm tối thiểu 1 năm trong lĩnh vực kinh doanh thiết bị/linh kiện điện tử là lợi thế.
• Hiểu biết cơ bản về các loại Vật tư công nghiệp - Linh kiện điện tử và khả năng đọc hiểu tài liệu kỹ thuật.
• Ứng viên là người năng động, sáng tạo, có tinh thân cầu tiến, có khá năng chịu được áp lực trong công việc.
• Kỹ năng giao tiếp, đàm phán và thuyết phục tốt.
• Có tinh thần chủ động, trung thực, chịu được áp lực doanh số.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/8WHgbQtH30Ku0kATOytMgpjslaGDSLOl_1730971204____f187074b5475251e87b5cbbe5394f1f5.jpg,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-linh-kien-dien-luong-cung-hoa-hong-theo-doanh-so-lam-viec-tai-ha-noi/1723946.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466268
TRƯỜNG TRUNG CẤP NGHỀ KỸ THUẬT VÀ NGHIỆP VỤ DU LỊCH QUANG MINH,Chuyên môn Tư vấn tuyển sinh/khoá học B2C,Không yêu cầu,Hà Nội,100-499 nhân viên,10 - 13 triệu,"• Tìm kiếm và phát triển mạng lưới học sinh tiềm năng thông qua các kênh trực tiếp và trực tuyến.
• Tư vấn chuyên nghiệp về các chương trình đào tạo của trường, giải đáp thắc mắc cho học sinh và phụ huynh.
• Tổ chức và tham gia các sự kiện tuyển sinh, hội thảo hướng nghiệp...
• Xây dựng và duy trì mối quan hệ với các trường THCS, THPT, trung tâm giới thiệu việc làm và các đối tác liên quan.
• Thu thập, cập nhật và quản lý thông tin học sinh, theo dõi và báo cáo kết quả tuyển sinh định kỳ.
• Trực tiếp tham gia các hoạt động marketing và truyền thông liên quan đến công tác tuyển sinh.
• Thực hiện các công việc khác theo sự phân công của Phòng Tuyển sinh.","• Tốt nghiệp Cao đẳng trở lên
• Có kinh nghiệm trong lĩnh vực tuyển sinh, tư vấn giáo dục hoặc các vị trí tương đương, hiểu về ngành cơ khí, ngành Hàn kim loại hoặc ngành du lịch là một lợi thế.
• Kỹ năng giao tiếp, thuyết trình và đàm phán tốt.
• Kỹ năng làm việc độc lập và làm việc nhóm hiệu quả.
• Khả năng tổ chức công việc tốt, năng động, nhiệt tình và có trách nhiệm cao.
• Sử dụng thành thạo tin học văn phòng (Word, Excel, PowerPoint).
• Ngoại hình chuyên nghiệp, tác phong lịch sự...",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/681c617815d731746690424.png,https://www.topcv.vn/viec-lam/chuyen-vien-tu-van-tuyen-sinh-nam/1723041.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466268
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI TRẦM HƯƠNG VIỆT NAM,Chuyên môn Kinh doanh nông sản Direct Sales Telesales Online Sales Bán hàng tại cửa hàng/showroom B2B B2C Có hỗ trợ Data,Dưới 1 năm,Hà Nội,25-99 nhân viên,10 - 30 triệu,"- Tiếp nhận khách hàng tiềm năng, tiến hành tư vấn và đàm phán với khách hàng cá nhân hoặc doanh nghiệp để chào bán sản phẩm của công ty.
- Nghiên cứu thị trường để đánh giá nhu cầu của khách hàng và xác định khả năng cung cấp sản phẩm, dịch vụ.
- Quản lý tiến độ bán hàng và nhanh chóng có những biện pháp xử lý để đạt được doanh sốmục tiêu.
- Hoàn thành quy trình bán hàng và CSKH tiềm năng.
- Làm báo cáo bán hàng hàng tuần.
- Các công việc khác theo sự phân công của cấp trên.","- Sử dụng Tiếng Anh giao tiếp. Biết nhiều hơn 1 ngoại ngữ là 1 lợi thế.
- Kỹ năng đàm phán tốt, nhanh nhẹn, hoạt bát, thành thạo tin học văn phòng.
- Yêu cầu >6 tháng kinh nghiệm sales
- Tốt nghiệp ĐH/CĐ chuyên ngành QTKD, MKT,...",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/681db1a291ffa1746776482.jpg,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-tu-van-ban-hang-tieng-anh-giao-tiep/1723458.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466268
CÔNG TY TNHH TRUYỀN THÔNG TNS VIỆT NAM,Chuyên môn Kinh doanh/Bán hàng khác B2C,1 năm,Hồ Chí Minh,100-499 nhân viên,Thoả thuận,"Với mục tiêu mở rộng và phát triển hoạt động tại khu vực miền Nam, chúng tôi đang tìm kiếm một Nhân Giám sát địa năng động, có năng lực quản lý và khả năng di chuyển công tác thường xuyên để dẫn dắt và điều phối các hoạt động tại khu vực phụ trách.
Địa điểm làm việc: TP. Hồ Chí Minh
1. TRÁCH NHIỆM CHÍNH:
• Quản lý và điều phối hoạt động:
o Chịu trách nhiệm quản lý toàn bộ hoạt động của văn phòng tại Cần Thơ và thường xuyên đi công tác các tỉnh thuộc khu vực Tây Nguyên/Đông Nam/khu vực khác khi có yêu cầu từ cấp quản lý
• Phát triển đối tác và mở rộng mạng lưới:
o Chủ động tìm kiếm, xây dựng và duy trì mối quan hệ với các đối tác tiềm năng trong khu vực quản lý ể tham gia vào các dự án nghiên cứu của công ty.
• Quản lý và phát triển đội ngũ:
o Tham gia vào quá trình tuyển chọn, đào tạo và phát triển đội ngũ nhân viên thực hiện dự án tại khu vực phụ trách, đảm bảo đủ năng lực đáp ứng yêu cầu công việc.
o Đánh giá hiệu suất làm việc và có các biện pháp hỗ trợ, thúc đẩy nhân viên hoàn thành tốt nhiệm vụ.
• Công tác và di chuyển:
o Thực hiện các chuyến công tác thường xuyên và liên tục đến các tỉnh thuộc khu vực Tây Nguyên/Đông Nam Bộ/ Đồng bằng sông Cửu Long để làm việc với đối tác, giám sát dự án và hỗ trợ nhân viên.
• Báo cáo và phối hợp:
o Báo cáo định kỳ/đột xuất về tình hình hoạt động, tiến độ dự án và các vấn đề phát sinh cho cấp quản lý.
o Phối hợp chặt chẽ với các phòng ban khác trong công ty để đảm bảo hiệu quả công việc chung.
• Thực hiện các nhiệm vụ khác theo sự phân công của cấp quản lý.","• Giới tính: Nam
• Độ tuổi: Từ 28 đến 40 tuổi.
• Tốt nghiệp Cao đẳng/Đại học trở lên các ngành Xã hội học, Nhân học, Quản trị Kinh doanh, Kinh tế hoặc các ngành liên quan.
• Kinh nghiệm: Có kinh nghiệm quản lý đội nhóm và kinh nghiệm làm việc thực tế tại khu vực Đông Nam Bộ và/hoặc Đồng bằng sông Cửu Long là một lợi thế lớn.
• Kỹ năng:
o Thành thạo tin học văn phòng
o Kỹ năng giao tiếp và thuyết phục xuất sắc, nhanh nhẹn và linh hoạt trong xử lý tình huống.
o Khả năng quản lý, điều phối và giám sát công việc hiệu quả.
o Khả năng tổ chức công việc khoa học, làm việc độc lập và làm việc nhóm tốt.
o Trung thực, cẩn thận, có tinh thần trách nhiệm cao và cam kết bảo mật thông tin.
o Đặc biệt nhấn mạnh khả năng đi công tác thường xuyên và liên tục tại các tỉnh thuộc khu vực khu vực Tây Nguyên/Đông Nam Bộ/ Đồng bằng sông Cửu Long và khu vực khác khi có yêu cầu từ cấp quản lý",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/6822a8c30e0981747101891.png,https://www.topcv.vn/viec-lam/giam-sat-thuc-dia/1726334.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466268
N/A,Chuyên môn Tư vấn tuyển sinh/khoá học Direct Sales Telesales Bán hàng tại cửa hàng/showroom B2C Có hỗ trợ Data Diễn đạt trôi chảy,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.topcv.vn/brand/trung-tam-anh-ngu-ila/tuyen-dung/nhan-vien-tu-van-tuyen-sinh-ila-thu-duc-quan-2-quan-9-quan-7-quan-8-j1725411.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466268
Ngân hàng TMCP Đông Nam Á - SEABANK,Chuyên môn Quan hệ khách hàng cá nhân/doanh nghiệp B2C,Không yêu cầu,Hà Nam,5000+ nhân viên,15 - 25 triệu,"Lên kế hoạch và triển khai công tác kinh doanh sản phẩm dịch vụ dành cho Khách hàng doanh nghiệp (""KHDN"") thuộc phân khúc/tiểu phân khúc MSME, SME trên địa bàn nhằm hoàn thành các chỉ tiêu KPIs được giao
Quản lý, chăm sóc, phát triển danh mục khách hàng
Phối hợp hỗ trợ khách hàng sau giải ngân và thực hiện công tác kiểm soát sau vay đối với việc cung cấp sản phẩm, dịch vụ ngân hàng dành cho KHDN
Tham gia công tác đào tạo
Báo cáo kết quả thực hiện công việc, các báo cáo định kỳ và đột xuất theo yêu cầu của Trưởng nhóm KHDN/ Giám đốc KHDN/ Giám đốc Chi nhánh và quy định của SeABank;
Thực hiện các công việc khác theo sự phân công của Trưởng nhóm KHDN/ Giám đốc KHDN/ Giám đốc Chi nhánh tùy theo mô hình hoạt động của Chi nhánh, Giám đốc khu vực, Ban Lãnh đạo Ngân hàng và/hoặc theo các quy định khác của Ngân hàng.","Tốt nghiệp đại học chuyên ngành Kinh tế, Tài chính, ngân hàng, quản trị kinh doanh hoặc tương đương.
Am hiểu thị trường địa phương, ưu tiên ứng viên là người địa phương.
Với các vị trí Chuyên viên chính/ Chuyên viên cao cấp yêu cầu có kinh nghiệm Ngân hàng.
Kỹ năng về marketing và kinh doanh thương mại; Kỹ năng phân tích tài chính và rủi ro tín dụng; Hiểu biết sản phẩm và dịch vụ ngân hàng là một ưu thế.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/4XhudLFrcBny3dlsD9Mn7SetP50YWkv3_1711512611____54b244854e45defa1604a6104a045c24.png,https://www.topcv.vn/viec-lam/chuyen-vien-khach-hang-doanh-nghiep-ha-nam/996523.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466268
CÔNG TY CỔ PHẦN NÔNG NGHIỆP HÙNG HẬU,Chuyên môn Sales Xuất nhập khẩu/Logistics khác B2B Thực phẩm / Đồ uống Xuất nhập khẩu / Hải quan Nông lâm ngư nghiệp Nghỉ thứ 7,3 năm,"Hồ Chí Minh, Đồng Tháp",1000+ nhân viên,Thoả thuận,"Quản lý, điều hành phòng sales;
Theo dõi, kiểm tra, đánh giá hiệu quả công việc của nhân viên thuộc quyền quản lý với bảng phân công công việc/ bảng mô tả công việc.
Tham mưu và hỗ trợ cho Giám đốc, Ban Phát triển Kinh doanh phụ trách về hoạt động kinh doanh GTGT/Thủy sản, đảm trách thực hiện các nhiệm vụ trong phạm vi trách nhiệm được giao;
Hỗ trợ Giám đốc, Ban Phát triển Kinh doanh phụ trách xây dựng các quy trình nghiệp vụ bán hàng nhằm phối hợp thực hiện và kiểm soát tốt các hoạt động liên quan;
Lập kế hoạch bán hàng đáp ứng chỉ tiêu Giám đốc, Ban Phát triển Kinh doanh giao hàng năm;
Lập kế hoạch ngân sách hoạt động của phòng, theo dõi, kiểm soát theo ngân sách đã lập.
Tổ chức phân chia khối thị trường hợp lý, khoa học
Tổ chức và chịu trách nhiệm về việc triển khai, phân công công việc cho phòng;
Xây dựng các biện pháp và chính sách kinh doanh: phương thức bán hàng, chính sách và chiêu thức bán hàng... để tạo ưu thế cạnh tranh, phát huy thời cơ để đạt kết quả bán hàng cao nhất;
Lập kế hoạch và triển khai kế hoạch phát triển thị trường nhằm mở rộng thị trường, tăng thị phần và doanh thu cho công ty;
Tổ chức công tác dịch vụ hỗ trợ cho các nhân viên kinh doanh, chăm sóc khách hàng...Tìm kiếm khách hàng mới, mở rộng thị trường tiêu thụ;
Nắm bắt tình hình thị trường, nhu cầu của các khách hàng, phát hiện kịp thời những thay đổi, những xu thế mới trong đầu tư của khách hàng và các hành động của đối thủ;
Tiếp nhận và xử lý đơn đặt hàng của khách hàng. Đánh giá sức mua và khả năng thanh toán của các khách hàng trước khi đưa ra quyết định tiếp nhận đơn hàng. Thực hiện đàm phán với khách hàng về giá cả, chủng loại hàng hóa, thời hạn giao hàng, điều khoản thanh toán, v.v.
Thực hiện các công việc và báo cáo khác theo yêu cầu của Giám đốc, Ban Phát triển Kinh doanh.","Tốt nghiệp Đại học trở lên chuyên ngành có liên quan.
Anh văn lưu loát.
Hiểu biết về hoạt động xuất nhập khẩu.
Am hiểu các mặt hàng Thủy sản, GTGT.
Nhạy bén với thị trường, thấu hiểu tâm lý và nhu cầu của khách hàng.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/V9qdHWNPncacy6nKF3LbCDKwOJs4BoiT_1739490363____54d5616b7a00d1a2bbc6c54ff936415e.png,https://www.topcv.vn/viec-lam/truong-phong-kinh-doanh-xuat-khau-thuy-san-gtgt/1724764.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466268
Công ty TNHH Uni Việt,Chuyên môn Bán hàng kỹ thuật cơ khí Direct Sales Telesales Online Sales Bán hàng tại cửa hàng/showroom B2C Điện / Điện tử / Điện lạnh Công nghệ kỹ thuật Cơ khí / Tự động hóa Giọng miền Bắc Phát âm chuẩn Diễn đạt trôi chảy,1 năm,Hà Nội,25-99 nhân viên,15 - 20 triệu,"- Tìm kiếm khách hàng là những đối tượng kinh doanh trong ngành nội thất, làm đẹp ô tô, các trung tâm làm lốp ô tô, garage ô tô,...
- Xây dựng kế hoạch kinh doanh, đảm bảo doanh số mục tiêu.
- Nghiên cứu thị trường, tìm hiểu thông tin đối thủ, mở rộng mạng lưới bán hàng.
- Tư vấn trực tiếp cho khách hàng về sản phẩm, về dịch vụ của công ty. Thực hiện các nghiệp vụ bán hàng, làm báo giá và đàm phán đi đến ký kết hợp đồng với khách hàng.
- Xây dựng mối quan hệ tốt với khách hàng
- Lắp đặt và đào tạo sử dụng sản phẩm
- Phối hợp với bộ phận Marketing, Kỹ Thuật Dịch Vụ để triển khai các chương trình hỗ trợ bán hàng.
- Phối hợp hỗ trợ giải quyết các vấn đề phát sinh với thiết bị sau lắp đặt.
- Thu tiền hàng, theo dõi công nợ khách hàng
- Báo cáo cho TP Kinh Doanh","- Giới tính: Nam, tuổi từ 22 – 35
- Tốt nghiệp Trung Cấp trở lên các khối ngành Quản trị Kinh doanh, Kinh tế, Kỹ thuật Ô tô, Điện, cơ khí,
- Có tối thiểu từ 1 năm kinh nghiệm trong lĩnh vực kinh doanh
- Kỹ năng giao tiếp, đàm phán và thuyết phục tốt.
- Khả năng phân tích thị trường và lập kế hoạch kinh doanh hiệu quả.
- Sẵn sàng đi công tác.
- Ưu tiên ứng viên có bằng lái xe B2.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/8dz8wrAqyjJpSADswOpIYOCtLcbZ8T9n_1713754891____18c4b4976842bb7968a09bae8c00a671.jpg,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-thiet-bi-garage-o-to-lam-viec-tai-long-bien-ha-noi/1722951.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466268
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DỊCH VỤ KIM ĐIỀN,Chuyên môn Kinh doanh thực phẩm Direct Sales Telesales B2C Bán lẻ - Hàng tiêu dùng - FMCG Thực phẩm / Đồ uống Nhà hàng / Khách sạn,1 năm,Hồ Chí Minh,10-24 nhân viên,15 - 20 triệu,"1. Tư vấn & giới thiệu sản phẩm
Trực tiếp gặp gỡ khách hàng để giới thiệu về sản phẩm trà khô, matcha và các chương trình khuyến mãi.
Tư vấn giải pháp phù hợp với nhu cầu khách hàng nhằm thúc đẩy doanh số.
Hướng dẫn khách hàng về cách bảo quản và sử dụng sản phẩm hiệu quả.
2. Tìm kiếm & phát triển khách hàng mới
Khảo sát thị trường, xác định đối tượng khách hàng tiềm năng (quán cà phê, nhà hàng, siêu thị, nhà phân phối).
Lập kế hoạch tiếp cận và mở rộng thị trường theo khu vực được phân công.
Tìm hiểu đối thủ cạnh tranh và đề xuất chiến lược bán hàng phù hợp.
3. Chốt đơn hàng & theo dõi công nợ
Tiếp nhận và xử lý đơn đặt hàng, phối hợp với bộ phận kho vận để đảm bảo giao hàng đúng hẹn.
Theo dõi tình trạng đơn hàng, công nợ, nhắc nhở khách hàng thanh toán đúng hạn.
4. Chăm sóc khách hàng & duy trì quan hệ
Đảm bảo sự hài lòng của khách hàng sau khi mua hàng, hỗ trợ giải quyết thắc mắc và khiếu nại.
Thường xuyên liên hệ hỗ trợ, cập nhật thông tin sản phẩm mới và đề xuất chương trình ưu đãi.
5. Phát triển thị trường và mở rộng khách hàng: Xây dựng kế hoạch doanh số cá nhân, thực hiện các chiến lược bán hàng để đạt mục tiêu, đề xuất chính sách giá, chương trình
6. Báo cáo & phối hợp với các bộ phận liên quan","Kinh nghiệm: 1-2 năm trong Sales F&B, Horeca, FMCG, nguyên liệu pha chế.
Kiến thức ngành: Hiểu biết về trà, nguyên liệu pha chế, thị trường đồ uống là lợi thế.
Ưu tiên Nam
Network khách hàng: Có sẵn mối quan hệ trong ngành trà/cà phê là điểm cộng.
Công việc có tính chất đi công tác các Tỉnh (có phụ cấp chi phí đi lại và khách sạn).
Kỹ năng bán hàng: Thành thạo đàm phán, thuyết phục, chốt đơn nhanh.
Khả năng thị trường: Chủ động đi thị trường, chịu áp lực doanh số, phân tích xu hướng.
Quản lý & báo cáo: Theo dõi dữ liệu khách hàng, lập báo cáo kinh doanh.
Phẩm chất cá nhân: Năng động, kiên trì, ham học hỏi, đam mê F&B.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/6821afd6d3a501747038166.jpg,https://www.topcv.vn/viec-lam/nhan-vien-sales-thi-truong-sales-fb-luong-co-ban-tu-8-10-trieu-thang/1725412.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466268
CÔNG TY CỔ PHẦN MAO TRUNG HOME,Chuyên môn Chief Customer Officer (CCO) B2B B2C Xây dựng Bất động sản Thiết kế / Kiến trúc,3 năm,Hồ Chí Minh,100-499 nhân viên,Thoả thuận,"• Quản lý toàn bộ hoạt động kinh doanh theo hai kênh chiến lược: Dự án và Văn phòng Kiến trúc sư.
• Xây dựng và triển khai chiến lược phát triển doanh thu, mở rộng độ phủ thương hiệu trên thị trường cao cấp.
• Điều hành và phát triển hai phòng kinh doanh chuyên biệt: Phòng Kinh doanh Dự án & Phòng Kinh doanh Văn phòng Kiến trúc sư.
• Mở rộng mạng lưới đối tác chiến lược: chủ đầu tư, nhà thầu, kiến trúc sư, văn phòng thiết kế, chuỗi showroom, đại lý cao cấp...
• Thiết lập hệ thống bán hàng bài bản, quản lý hiệu quả quy trình chăm sóc và duy trì quan hệ khách hàng B2B.
• Kết hợp với phòng Marketing, phòng Thiết kế và các bộ phận liên quan để nâng cao trải nghiệm khách hàng và tăng trưởng doanh số bền vững.","• Có ít nhất 3 năm kinh nghiệm ở vị trí quản lý cấp cao trong ngành VLXD, nội thất, kiến trúc hoặc bất động sản.
• Am hiểu thị trường dự án và mô hình hợp tác cùng các văn phòng kiến trúc sư.
• Có kinh nghiệm xây dựng và dẫn dắt đội ngũ bán hàng đa kênh.
• Kỹ năng đàm phán, tư duy chiến lược và khả năng xây dựng hệ thống quản trị thương mại hiệu quả.
• Ưu tiên ứng viên có tư duy linh hoạt, tinh thần đồng hành và từng làm việc trong môi trường chuyên nghiệp, quy mô toàn quốc.",https://cdn-new.topcv.vn/unsafe/80x/https://static.topcv.vn/company_logos/6821a936966c51747036470.png,https://www.topcv.vn/viec-lam/giam-doc-kinh-doanh-nganh-vat-lieu-xay-dung-thu-nhap-hap-dan/1723731.html?ta_source=JobSearchList_LinkDetail&u_sr_id=yG8J4XFAOp2nv5DfOrN44G27HwQTBjdWpQ0RF44z_1747466268
